Time;Meting
0;0
10;0
20;66.67
30;66.67
41;133.33
52;133.33
62;133.33
73;133.33
83;121.21
95.00;222.22
105;200
115;200
126.00;181.82
137.00;200
148.00;148.15
158;200
169.00;266.67
180.00;200
190.00;200
201.00;266.67
211.00;242.42
223.00;266.67
233.00;266.67
244.00;222.22
254.00;242.42
265.00;266.67
276.00;266.67
286.00;266.67
297.00;242.42
308.00;266.67
319.00;296.3
329.00;266.67
340.00;266.67
351.00;266.67
361.00;266.67
372.00;266.67
382.00;242.42
394.00;333.33
404.00;266.67
415.00;296.3
425.00;242.42
437.00;370.37
447.00;266.67
457.00;266.67
468.00;303.03
479.00;266.67
490.00;296.3
500.00;266.67
512.00;296.3
522.00;266.67
532.00;333.33
543.00;333.33
553.00;242.42
565.00;333.33
575.00;266.67
586.00;370.37
596.00;303.03
608.00;296.3
618.00;333.33
628.00;333.33
640.00;266.67
650.00;333.33
661.00;370.37
671.00;266.67
683.00;296.3
693.00;266.67
703.00;266.67
714.00;266.67
724.00;242.42
736.00;266.67
746.00;266.67
757.00;296.3
768.00;333.33
779.00;370.37
789.00;266.67
799.00;266.67
811.00;266.67
821.00;333.33
832.00;333.33
842.00;266.67
854.00;444.44
864.00;333.33
875.00;518.52
885.00;242.42
896.00;266.67
907.00;266.67
917.00;266.67
928.00;296.3
939.00;266.67
950.00;370.37
960.00;266.67
970.00;333.33
982.00;333.33
992.00;266.67
1003.00;333.33
1013.00;242.42
1025.00;266.67
1035.00;400
1046.00;266.67
1056.00;303.03
1068.00;266.67
1078.00;333.33
1089.00;370.37
1099.00;242.42
1111.00;370.37
1121.00;266.67
1132.00;296.3
1142.00;242.42
1154.00;296.3
1164.00;333.33
1175.00;370.37
1185.00;303.03
1197.00;370.37
1207.00;266.67
1218.00;370.37
1228.00;242.42
1240.00;370.37
1250.00;333.33
1261.00;296.3
1271.00;303.03
1283.00;296.3
1293.00;333.33
1304.00;296.3
1314.00;242.42
1326.00;444.44
1336.00;333.33
1347.00;370.37
1357.00;303.03
1368.00;266.67
1379.00;333.33
1389.00;400
1400.00;303.03
1411.00;333.33
1422.00;266.67
1432.00;333.33
1443.00;242.42
1454.00;333.33
1465.00;333.33
1475.00;266.67
1486.00;363.64
1497.00;266.67
1508.00;333.33
1518.00;333.33
1529.00;303.03
1540.00;333.33
1551.00;266.67
1561.00;266.67
1572.00;303.03
1583.00;266.67
1594.00;333.33
1604.00;400
1615.00;303.03
1626.00;333.33
1637.00;296.3
1647.00;333.33
1658.00;266.67
1669.00;333.33
1680.00;296.3
1690.00;266.67
1701.00;266.67
1712.00;266.67
1723.00;370.37
1733.00;266.67
1744.00;266.67
1755.00;333.33
1766.00;296.3
1776.00;333.33
1787.00;333.33
1798.00;266.67
1809.00;296.3
1819.00;266.67
1830.00;333.33
1841.00;266.67
1852.00;296.3
1862.00;333.33
1873.00;266.67
1884.00;266.67
1895.00;370.37
1905.00;333.33
1916.00;266.67
1927.00;266.67
1938.00;370.37
1948.00;333.33
1958.00;242.42
1970.00;266.67
1980.00;266.67
1991.00;333.33
2001.00;303.03
2013.00;333.33
2023.00;466.67
2034.00;266.67
2044.00;242.42
2056.00;266.67
2066.00;333.33
2077.00;333.33
2087.00;242.42
2099.00;333.33
2109.00;266.67
2120.00;400
2130.00;303.03
