Time;Meting
0;0
10;13.96
20;13.96
30;13.96
41;25.39
52;27.93
62;27.93
73;27.93
83;31.73
94;34.91
105;34.91
115;34.91
126;41.89
137;41.89
147;34.91
158;34.91
168;38.08
180;62.06
190;41.89
200;41.89
211;41.89
222;34.91
232;41.89
243;34.91
253;50.77
265;38.79
275;34.91
285;34.91
296;31.73
307;34.91
318;38.79
328;41.89
338;38.08
350;34.91
360;34.91
371;54.3
381;31.73
392;41.89
403;48.87
413;48.87
424;41.89
435;41.89
445;48.87
456;41.89
466;38.08
478;38.79
488;34.91
498;41.89
509;34.91
520;41.89
530;48.87
541;34.91
551;38.08
563;38.79
573;41.89
583;41.89
594;38.08
605;41.89
616;38.79
626;41.89
636;38.08
648;41.89
658;34.91
669;31.03
679;31.73
690;41.89
701;34.91
711;34.91
722;34.91
733;41.89
743;41.89
754;38.79
764;25.39
775;34.91
786;41.89
796;41.89
807;34.91
818;34.91
828;34.91
839;34.91
849;38.08
861;38.79
871;34.91
881;34.91
892;50.77
903;34.91
914;62.06
924;34.91
934;50.77
946;48.87
956;41.89
967;31.03
977;31.73
988;34.91
999;48.87
1009;48.87
1020;27.93
1031;34.91
1042;38.79
1052;41.89
1062;38.08
1074;41.89
1084;34.91
1095;41.89
1105;50.77
1117;38.79
1127;34.91
1138;38.79
1148;38.08
1160;46.54
1170;34.91
1180;27.93
1191;31.73
1202;41.89
1213;48.87
1223;41.89
1234;41.89
1245;41.89
1256;46.54
1266;48.87
1277;41.89
1288;41.89
1298;41.89
1309;41.89
1319;31.73
1331;41.89
1341;41.89
1352;54.3
1362;38.08
1374;46.54
1384;34.91
1395;46.54
1405;44.43
1416;41.89
1427;48.87
1437;34.91
1448;44.43
1459;48.87
1470;38.79
1480;34.91
1491;34.91
1502;41.89
1513;46.54
1523;34.91
1533;38.08
1545;34.91
1555;48.87
1566;34.91
1576;44.43
1588;48.87
1598;41.89
1609;46.54
1619;38.08
1631;38.79
1641;34.91
1651;34.91
1662;38.08
1673;41.89
1684;48.87
1694;34.91
1705;38.08
1716;48.87
1727;38.79
1737;34.91
1748;41.89
1759;41.89
1769;34.91
1780;48.87
1790;31.73
1802;41.89
1812;41.89
1823;55.85
1833;31.73
1845;54.3
1855;34.91
1866;38.79
1876;31.73
1887;34.91
1898;34.91
1908;41.89
1920;34.91
1930;34.91
1941;34.91
1951;41.89
1963;46.54
1973;41.89
1984;46.54
1994;34.91
2006;62.06
2016;41.89
2026;34.91
2037;31.73
2048;34.91
2059;41.89
2069;41.89
2080;46.54
2091;34.91
2102;54.3
2112;41.89
2123;38.79
